Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1764751456.127361,76045,14,1
1,NewOrder,1764751456.188562,35997,10,1
5,StockLevel,1764751456.188677,33771,5,1
1,NewOrder,1764751456.188678,33974,6,1
1,NewOrder,1764751456.188682,35732,11,1
1,NewOrder,1764751456.192644,29887,15,1
1,NewOrder,1764751456.196522,28114,9,1
2,Payment,1764751456.196522,26087,8,1
2,Payment,1764751456.196526,25922,4,1
2,Payment,1764751456.196658,26750,3,1
2,Payment,1764751456.200538,22079,13,1
2,Payment,1764751456.203426,21469,1,1
2,Payment,1764751456.203426,20991,14,1
1,NewOrder,1764751456.203431,40404,2,1
2,Payment,1764751456.203513,20930,7,1
3,OrderStatus,1764751456.203537,1355,12,1
2,Payment,1764751456.204904,40910,12,1
1,NewOrder,1764751456.222479,29166,4,1
2,Payment,1764751456.222484,26738,5,1
3,OrderStatus,1764751456.222544,1746,15,1
1,NewOrder,1764751456.222626,29090,13,1
1,NewOrder,1764751456.222628,29221,8,1
2,Payment,1764751456.222659,26576,6,1
2,Payment,1764751456.223012,26217,0,1
2,Payment,1764751456.223419,25775,3,1
2,Payment,1764751456.224297,24940,15,1
1,NewOrder,1764751456.224421,27323,11,1
2,Payment,1764751456.224425,56883,14,1
2,Payment,1764751456.224451,57216,7,1
1,NewOrder,1764751456.224567,27244,10,1
3,OrderStatus,1764751456.224640,1075,9,1
2,Payment,1764751456.224902,26738,1,1
1,NewOrder,1764751456.225722,26061,9,1
1,NewOrder,1764751456.243857,51614,2,1
2,Payment,1764751456.245831,35718,12,1
4,Delivery,1764751456.249212,114273,3,1
1,NewOrder,1764751456.249234,32102,5,1
2,Payment,1764751456.249238,45772,0,1
2,Payment,1764751456.249247,51430,15,1
1,NewOrder,1764751456.249249,32089,6,1
1,NewOrder,1764751456.251653,37561,1,1
1,NewOrder,1764751456.251655,37496,4,1
1,NewOrder,1764751456.251728,111752,13,1
1,NewOrder,1764751456.251752,37405,11,1
2,Payment,1764751456.251785,29523,9,1
1,NewOrder,1764751456.251820,37148,10,1
1,NewOrder,1764751456.251851,29628,8,1
1,NewOrder,1764751456.281329,86809,14,1
2,Payment,1764751456.281329,13754,9,1
1,NewOrder,1764751456.281345,82128,5,1
2,Payment,1764751456.281347,14006,6,1
1,NewOrder,1764751456.281482,75167,8,1
1,NewOrder,1764751456.281554,84084,12,1
2,Payment,1764751456.281670,82268,7,1
2,Payment,1764751456.288989,74541,10,1
2,Payment,1764751456.289163,67488,11,1
2,Payment,1764751456.289165,74340,4,1
1,NewOrder,1764751456.289222,75563,1,1
2,Payment,1764751456.295031,69869,0,1
3,OrderStatus,1764751456.295096,2125,9,1
2,Payment,1764751456.295363,84403,6,1
2,Payment,1764751456.295479,69299,2,1
2,Payment,1764751456.297232,83045,9,1
1,NewOrder,1764751456.300695,67530,15,1
2,Payment,1764751456.356672,18356,11,1
5,StockLevel,1764751456.356674,18341,8,1
3,OrderStatus,1764751456.363496,16130,13,1
2,Payment,1764751456.363496,16359,5,1
3,OrderStatus,1764751456.363496,16309,3,1
4,Delivery,1764751456.363513,31994,4,1
2,Payment,1764751456.363537,53698,10,1
2,Payment,1764751456.363943,53301,7,1
2,Payment,1764751456.364785,20935,2,1
1,NewOrder,1764751456.364792,30786,1,1
2,Payment,1764751456.364907,15797,0,1
2,Payment,1764751456.365664,20148,12,1
1,NewOrder,1764751456.368151,22068,14,1
1,NewOrder,1764751456.368233,32591,15,1
2,Payment,1764751456.375033,15205,8,1
1,NewOrder,1764751456.375039,32398,11,1
2,Payment,1764751456.379642,27872,13,1
2,Payment,1764751456.379777,15741,6,1
2,Payment,1764751456.379813,21027,3,1
1,NewOrder,1764751456.379859,30311,5,1
2,Payment,1764751456.380284,15600,9,1
1,NewOrder,1764751456.380711,29303,0,1
4,Delivery,1764751456.385738,52486,2,1
1,NewOrder,1764751456.385822,31500,12,1
1,NewOrder,1764751456.390236,27016,14,1
1,NewOrder,1764751456.390249,27000,8,1
1,NewOrder,1764751456.395521,38708,4,1
2,Payment,1764751456.395528,38818,6,1
4,Delivery,1764751456.395587,44701,1,1
1,NewOrder,1764751456.395893,33656,9,1
3,OrderStatus,1764751456.400841,16546,15,1
1,NewOrder,1764751456.400851,44176,3,1
2,Payment,1764751456.407463,26706,11,1
1,NewOrder,1764751456.407528,26656,13,1
2,Payment,1764751456.410030,24160,0,1
2,Payment,1764751456.410235,23986,5,1
1,NewOrder,1764751456.417254,27772,10,1
2,Payment,1764751456.417260,16940,8,1
1,NewOrder,1764751456.417261,28291,14,1
1,NewOrder,1764751456.417268,28995,7,1
2,Payment,1764751456.417325,16936,12,1
2,Payment,1764751456.417395,20633,15,1
1,NewOrder,1764751456.429578,29226,9,1
2,Payment,1764751456.434190,24534,11,1
1,NewOrder,1764751456.434197,30032,13,1
1,NewOrder,1764751456.434199,39623,0,1
5,StockLevel,1764751456.434209,12935,8,1
2,Payment,1764751456.434233,42903,4,1
1,NewOrder,1764751456.434234,48371,5,1
2,Payment,1764751456.434270,24496,12,1
3,OrderStatus,1764751456.434353,3298,6,1
2,Payment,1764751456.437678,26508,6,1
2,Payment,1764751456.438039,26191,15,1
1,NewOrder,1764751456.438233,41703,2,1
1,NewOrder,1764751456.440297,33392,1,1
1,NewOrder,1764751456.445052,28638,10,1
5,StockLevel,1764751456.445052,32146,3,1
1,NewOrder,1764751456.445561,48002,14,1
4,Delivery,1764751456.446272,47167,7,1
1,NewOrder,1764751456.447155,27185,8,1
2,Payment,1764751456.458745,20971,11,1
1,NewOrder,1764751456.458779,29520,12,1
1,NewOrder,1764751456.458808,40671,9,1
1,NewOrder,1764751456.464213,40844,6,1
1,NewOrder,1764751456.464243,29183,13,1
1,NewOrder,1764751456.464243,35253,15,1
