Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,GetSubscriberData,1764750700.895317,451,0,1
6,UpdateLocation,1764750700.895775,2870,0,1
2,GetAccessData,1764750700.898658,605,0,1
4,GetSubscriberData,1764750700.899272,522,0,1
2,GetAccessData,1764750700.899815,448,0,1
4,GetSubscriberData,1764750700.900270,427,0,1
4,GetSubscriberData,1764750700.900706,467,0,1
2,GetAccessData,1764750700.901179,305,0,1
2,GetAccessData,1764750700.901490,372,0,1
4,GetSubscriberData,1764750700.901869,525,0,1
4,GetSubscriberData,1764750700.902402,434,0,1
4,GetSubscriberData,1764750700.902843,321,0,1
2,GetAccessData,1764750700.903169,498,0,1
2,GetAccessData,1764750700.903676,417,0,1
6,UpdateLocation,1764750700.904100,2732,0,1
2,GetAccessData,1764750700.906841,435,0,1
4,GetSubscriberData,1764750700.907282,547,0,1
4,GetSubscriberData,1764750700.907837,488,0,1
6,UpdateLocation,1764750700.908334,2915,0,1
2,GetAccessData,1764750700.911260,444,0,1
4,GetSubscriberData,1764750700.911717,547,0,1
4,GetSubscriberData,1764750700.912272,377,0,1
2,GetAccessData,1764750700.912655,388,0,1
2,GetAccessData,1764750700.913049,317,0,1
2,GetAccessData,1764750700.913372,512,0,1
2,GetAccessData,1764750700.913890,497,0,1
4,GetSubscriberData,1764750700.914397,548,0,1
2,GetAccessData,1764750700.914954,511,0,1
4,GetSubscriberData,1764750700.915474,440,0,1
2,GetAccessData,1764750700.915920,467,0,1
4,GetSubscriberData,1764750700.916396,574,0,1
2,GetAccessData,1764750700.916976,414,0,1
2,GetAccessData,1764750700.917395,441,0,1
4,GetSubscriberData,1764750700.917845,496,0,1
6,UpdateLocation,1764750700.918350,2913,0,1
4,GetSubscriberData,1764750700.921272,667,0,1
3,GetNewDestination,1764750700.921947,469,0,1
6,UpdateLocation,1764750700.922422,2836,0,1
2,GetAccessData,1764750700.925267,510,0,1
4,GetSubscriberData,1764750700.925784,392,0,1
2,GetAccessData,1764750700.926227,500,0,1
3,GetNewDestination,1764750700.926736,478,0,1
2,GetAccessData,1764750700.927223,505,0,1
3,GetNewDestination,1764750700.927737,412,0,1
2,GetAccessData,1764750700.928155,466,0,1
2,GetAccessData,1764750700.928628,538,0,1
2,GetAccessData,1764750700.929172,416,0,1
3,GetNewDestination,1764750700.929595,536,0,1
2,GetAccessData,1764750700.930141,511,0,1
4,GetSubscriberData,1764750700.930659,368,0,1
2,GetAccessData,1764750700.931035,305,0,1
2,GetAccessData,1764750700.931375,516,0,1
3,GetNewDestination,1764750700.931903,542,0,1
6,UpdateLocation,1764750700.932453,2660,0,1
2,GetAccessData,1764750700.935122,396,0,1
2,GetAccessData,1764750700.935525,341,0,1
2,GetAccessData,1764750700.935886,477,0,1
2,GetAccessData,1764750700.936372,340,0,1
3,GetNewDestination,1764750700.936721,457,0,1
4,GetSubscriberData,1764750700.937187,484,0,1
4,GetSubscriberData,1764750700.937677,324,0,1
6,UpdateLocation,1764750700.938013,2689,0,1
4,GetSubscriberData,1764750700.940711,452,0,1
4,GetSubscriberData,1764750700.941172,594,0,1
4,GetSubscriberData,1764750700.941774,501,0,1
2,GetAccessData,1764750700.942282,396,0,1
4,GetSubscriberData,1764750700.942685,382,0,1
3,GetNewDestination,1764750700.943073,340,0,1
6,UpdateLocation,1764750700.943418,2837,0,1
4,GetSubscriberData,1764750700.946263,474,0,1
4,GetSubscriberData,1764750700.946744,449,0,1
4,GetSubscriberData,1764750700.947198,377,0,1
1,DeleteCallForwarding,1764750700.947580,1244,0,1
6,UpdateLocation,1764750700.948864,2877,0,1
2,GetAccessData,1764750700.951817,408,0,1
5,InsertCallForwarding,1764750700.952236,4208,0,1
2,GetAccessData,1764750700.956462,501,0,1
2,GetAccessData,1764750700.956971,467,0,1
4,GetSubscriberData,1764750700.957446,344,0,1
7,UpdateSubscriberData,1764750700.957795,3144,0,1
4,GetSubscriberData,1764750700.960946,491,0,1
2,GetAccessData,1764750700.961442,412,0,1
2,GetAccessData,1764750700.961859,454,0,1
2,GetAccessData,1764750700.962320,411,0,1
4,GetSubscriberData,1764750700.962738,340,0,1
2,GetAccessData,1764750700.963083,362,0,1
4,GetSubscriberData,1764750700.963449,301,0,1
6,UpdateLocation,1764750700.963754,2857,0,1
6,UpdateLocation,1764750700.966619,2834,0,1
6,UpdateLocation,1764750700.969460,3466,0,1
4,GetSubscriberData,1764750700.972936,512,0,1
4,GetSubscriberData,1764750700.973456,493,0,1
6,UpdateLocation,1764750700.973957,2789,0,1
4,GetSubscriberData,1764750700.976754,462,0,1
5,InsertCallForwarding,1764750700.977220,14305,0,1
3,GetNewDestination,1764750700.991536,621,0,1
7,UpdateSubscriberData,1764750700.992166,1729,0,1
4,GetSubscriberData,1764750700.993902,550,0,1
2,GetAccessData,1764750700.994459,472,0,1
4,GetSubscriberData,1764750700.994939,444,0,1
2,GetAccessData,1764750700.995391,443,0,1
4,GetSubscriberData,1764750700.995839,385,0,1
2,GetAccessData,1764750700.996232,505,0,1
7,UpdateSubscriberData,1764750700.996743,1537,0,1
6,UpdateLocation,1764750700.998287,2690,0,1
1,DeleteCallForwarding,1764750701.000984,3134,0,1
2,GetAccessData,1764750701.004126,533,0,1
4,GetSubscriberData,1764750701.004667,513,0,1
4,GetSubscriberData,1764750701.005189,380,0,1
4,GetSubscriberData,1764750701.005577,414,0,1
2,GetAccessData,1764750701.005997,504,0,1
4,GetSubscriberData,1764750701.006508,372,0,1
2,GetAccessData,1764750701.006886,411,0,1
6,UpdateLocation,1764750701.007312,3126,0,1
4,GetSubscriberData,1764750701.010446,435,0,1
6,UpdateLocation,1764750701.010888,3063,0,1
4,GetSubscriberData,1764750701.013960,505,0,1
4,GetSubscriberData,1764750701.014473,425,0,1
4,GetSubscriberData,1764750701.014907,538,0,1
2,GetAccessData,1764750701.015452,392,0,1
2,GetAccessData,1764750701.015849,363,0,1
6,UpdateLocation,1764750701.016216,4510,0,1
2,GetAccessData,1764750701.020734,389,0,1
4,GetSubscriberData,1764750701.021128,390,0,1
3,GetNewDestination,1764750701.021523,475,0,1
4,GetSubscriberData,1764750701.022002,402,0,1
2,GetAccessData,1764750701.022415,414,0,1
4,GetSubscriberData,1764750701.022833,499,0,1
3,GetNewDestination,1764750701.023339,378,0,1
4,GetSubscriberData,1764750701.023722,398,0,1
4,GetSubscriberData,1764750701.024148,463,0,1
4,GetSubscriberData,1764750701.024619,528,0,1
4,GetSubscriberData,1764750701.025154,419,0,1
4,GetSubscriberData,1764750701.025578,311,0,1
4,GetSubscriberData,1764750701.025894,528,0,1
4,GetSubscriberData,1764750701.026431,383,0,1
4,GetSubscriberData,1764750701.026820,360,0,1
2,GetAccessData,1764750701.027184,278,0,1
4,GetSubscriberData,1764750701.027466,298,0,1
6,UpdateLocation,1764750701.027768,2660,0,1
4,GetSubscriberData,1764750701.030437,405,0,1
2,GetAccessData,1764750701.030850,493,0,1
2,GetAccessData,1764750701.031349,473,0,1
2,GetAccessData,1764750701.031835,413,0,1
4,GetSubscriberData,1764750701.032254,520,0,1
4,GetSubscriberData,1764750701.032779,319,0,1
4,GetSubscriberData,1764750701.033102,490,0,1
2,GetAccessData,1764750701.033598,350,0,1
2,GetAccessData,1764750701.033952,432,0,1
2,GetAccessData,1764750701.034390,406,0,1
4,GetSubscriberData,1764750701.034801,486,0,1
4,GetSubscriberData,1764750701.035295,503,0,1
4,GetSubscriberData,1764750701.035805,444,0,1
2,GetAccessData,1764750701.036256,536,0,1
4,GetSubscriberData,1764750701.036799,684,0,1
4,GetSubscriberData,1764750701.037491,479,0,1
2,GetAccessData,1764750701.037978,975,0,1
6,UpdateLocation,1764750701.038961,2994,0,1
2,GetAccessData,1764750701.041963,481,0,1
2,GetAccessData,1764750701.042450,374,0,1
6,UpdateLocation,1764750701.042829,2923,0,1
6,UpdateLocation,1764750701.045760,2862,0,1
2,GetAccessData,1764750701.048644,440,0,1
3,GetNewDestination,1764750701.049092,783,0,1
2,GetAccessData,1764750701.049882,455,0,1
6,UpdateLocation,1764750701.050344,3009,0,1
6,UpdateLocation,1764750701.053362,2702,0,1
2,GetAccessData,1764750701.056071,387,0,1
2,GetAccessData,1764750701.056463,374,0,1
6,UpdateLocation,1764750701.056844,3177,0,1
3,GetNewDestination,1764750701.060030,520,0,1
2,GetAccessData,1764750701.060576,491,0,1
4,GetSubscriberData,1764750701.061076,547,0,1
2,GetAccessData,1764750701.061630,408,0,1
6,UpdateLocation,1764750701.062043,3142,0,1
2,GetAccessData,1764750701.065193,428,0,1
1,DeleteCallForwarding,1764750701.065626,1358,0,1
2,GetAccessData,1764750701.066995,494,0,1
6,UpdateLocation,1764750701.067497,3493,0,1
6,UpdateLocation,1764750701.070999,3285,0,1
2,GetAccessData,1764750701.074296,556,0,1
4,GetSubscriberData,1764750701.074861,514,0,1
6,UpdateLocation,1764750701.075382,2946,0,1
3,GetNewDestination,1764750701.078335,512,0,1
2,GetAccessData,1764750701.078852,585,0,1
2,GetAccessData,1764750701.079444,383,0,1
6,UpdateLocation,1764750701.079835,3122,0,1
2,GetAccessData,1764750701.082964,456,0,1
4,GetSubscriberData,1764750701.083427,373,0,1
4,GetSubscriberData,1764750701.083813,440,0,1
6,UpdateLocation,1764750701.084259,2697,0,1
4,GetSubscriberData,1764750701.086964,432,0,1
6,UpdateLocation,1764750701.087404,3141,0,1
2,GetAccessData,1764750701.090554,393,0,1
4,GetSubscriberData,1764750701.090951,389,0,1
4,GetSubscriberData,1764750701.091348,393,0,1
4,GetSubscriberData,1764750701.091747,378,0,1
6,UpdateLocation,1764750701.092148,3837,0,1
6,UpdateLocation,1764750701.095992,2876,0,1
4,GetSubscriberData,1764750701.098876,446,0,1
2,GetAccessData,1764750701.099327,401,0,1
2,GetAccessData,1764750701.099736,412,0,1
4,GetSubscriberData,1764750701.100241,396,0,1
4,GetSubscriberData,1764750701.100644,480,0,1
4,GetSubscriberData,1764750701.101147,313,0,1
7,UpdateSubscriberData,1764750701.101464,2602,0,1
2,GetAccessData,1764750701.104073,441,0,1
4,GetSubscriberData,1764750701.104518,401,0,1
2,GetAccessData,1764750701.104923,354,0,1
4,GetSubscriberData,1764750701.105281,386,0,1
4,GetSubscriberData,1764750701.105674,498,0,1
2,GetAccessData,1764750701.106177,409,0,1
