Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
6,WriteCheck,1764751702.455315,3529,0,1
4,SendPayment,1764751702.465271,3839,0,1
3,DepositChecking,1764751702.475464,3372,0,1
5,TransactSavings,1764751702.485359,4042,0,1
5,TransactSavings,1764751702.495311,4274,0,1
6,WriteCheck,1764751702.505464,3855,0,1
6,WriteCheck,1764751702.515502,4448,0,1
3,DepositChecking,1764751702.525376,3168,0,1
1,Amalgamate,1764751702.535437,5166,0,1
1,Amalgamate,1764751702.545353,3967,0,1
2,Balance,1764751702.555383,1366,0,1
4,SendPayment,1764751702.565465,4905,0,1
1,Amalgamate,1764751702.575366,4431,0,1
1,Amalgamate,1764751702.585473,3898,0,1
3,DepositChecking,1764751702.595489,3206,0,1
2,Balance,1764751702.605438,1574,0,1
3,DepositChecking,1764751702.615298,3422,0,1
1,Amalgamate,1764751702.625314,4288,0,1
1,Amalgamate,1764751702.635334,4204,0,1
3,DepositChecking,1764751702.645322,4100,0,1
2,Balance,1764751702.655302,1219,0,1
4,SendPayment,1764751702.665326,3766,0,1
2,Balance,1764751702.675303,933,0,1
3,DepositChecking,1764751702.685406,4098,0,1
5,TransactSavings,1764751702.695396,3765,0,1
5,TransactSavings,1764751702.705308,3606,0,1
5,TransactSavings,1764751702.715444,3663,0,1
3,DepositChecking,1764751702.725350,3516,0,1
4,SendPayment,1764751702.735457,3436,0,1
4,SendPayment,1764751702.745333,3599,0,1
6,WriteCheck,1764751702.755321,4074,0,1
4,SendPayment,1764751702.765311,3635,0,1
3,DepositChecking,1764751702.775336,3621,0,1
1,Amalgamate,1764751702.785446,3852,0,1
2,Balance,1764751702.795341,1179,0,1
4,SendPayment,1764751702.805359,3911,0,1
3,DepositChecking,1764751702.815395,3539,0,1
2,Balance,1764751702.825331,1365,0,1
6,WriteCheck,1764751702.835337,3169,0,1
6,WriteCheck,1764751702.845306,4116,0,1
1,Amalgamate,1764751702.855513,4337,0,1
4,SendPayment,1764751702.865617,3389,0,1
4,SendPayment,1764751702.875371,3876,0,1
2,Balance,1764751702.885298,1009,0,1
2,Balance,1764751702.895565,1265,0,1
2,Balance,1764751702.905363,1098,0,1
6,WriteCheck,1764751702.915332,3974,0,1
6,WriteCheck,1764751702.925397,3971,0,1
5,TransactSavings,1764751702.935373,4226,0,1
4,SendPayment,1764751702.945305,3979,0,1
4,SendPayment,1764751702.955337,3798,0,1
3,DepositChecking,1764751702.965311,3549,0,1
4,SendPayment,1764751702.975298,3779,0,1
1,Amalgamate,1764751702.985289,4217,0,1
4,SendPayment,1764751702.995416,4028,0,1
3,DepositChecking,1764751703.005332,4037,0,1
3,DepositChecking,1764751703.015384,3622,0,1
3,DepositChecking,1764751703.025315,3497,0,1
1,Amalgamate,1764751703.035375,6119,0,1
2,Balance,1764751703.045375,1594,0,1
1,Amalgamate,1764751703.055368,4563,0,1
5,TransactSavings,1764751703.065374,3641,0,1
4,SendPayment,1764751703.075341,3689,0,1
6,WriteCheck,1764751703.085539,3855,0,1
4,SendPayment,1764751703.095362,3474,0,1
4,SendPayment,1764751703.105399,3957,0,1
2,Balance,1764751703.115282,944,0,1
4,SendPayment,1764751703.125271,3715,0,1
4,SendPayment,1764751703.135301,3584,0,1
2,Balance,1764751703.145294,927,0,1
3,DepositChecking,1764751703.155327,3293,0,1
1,Amalgamate,1764751703.165487,4013,0,1
3,DepositChecking,1764751703.175396,3488,0,1
6,WriteCheck,1764751703.185326,4029,0,1
5,TransactSavings,1764751703.195400,3590,0,1
1,Amalgamate,1764751703.205494,3759,0,1
5,TransactSavings,1764751703.215361,3499,0,1
5,TransactSavings,1764751703.225596,3480,0,1
4,SendPayment,1764751703.235328,4007,0,1
4,SendPayment,1764751703.245297,4111,0,1
6,WriteCheck,1764751703.255425,3670,0,1
2,Balance,1764751703.265313,1315,0,1
6,WriteCheck,1764751703.275512,3962,0,1
3,DepositChecking,1764751703.285286,3131,0,1
1,Amalgamate,1764751703.295343,4326,0,1
4,SendPayment,1764751703.305320,3753,0,1
6,WriteCheck,1764751703.315449,3576,0,1
5,TransactSavings,1764751703.325294,4013,0,1
3,DepositChecking,1764751703.335440,3363,0,1
6,WriteCheck,1764751703.345344,3555,0,1
4,SendPayment,1764751703.355292,4461,0,1
6,WriteCheck,1764751703.365286,3998,0,1
3,DepositChecking,1764751703.375275,3161,0,1
1,Amalgamate,1764751703.385299,3854,0,1
3,DepositChecking,1764751703.395384,3573,0,1
2,Balance,1764751703.405611,759,0,1
1,Amalgamate,1764751703.415325,4015,0,1
6,WriteCheck,1764751703.425326,4507,0,1
1,Amalgamate,1764751703.435574,3668,0,1
4,SendPayment,1764751703.445499,3988,0,1
1,Amalgamate,1764751703.455471,6288,0,1
1,Amalgamate,1764751703.465396,4369,0,1
4,SendPayment,1764751703.475428,3842,0,1
6,WriteCheck,1764751703.485356,4285,0,1
1,Amalgamate,1764751703.495331,3944,0,1
6,WriteCheck,1764751703.505350,3966,0,1
3,DepositChecking,1764751703.515331,3546,0,1
6,WriteCheck,1764751703.525393,4099,0,1
3,DepositChecking,1764751703.535331,3420,0,1
5,TransactSavings,1764751703.545386,3616,0,1
3,DepositChecking,1764751703.555572,3225,0,1
5,TransactSavings,1764751703.565507,3332,0,1
5,TransactSavings,1764751703.575306,3907,0,1
3,DepositChecking,1764751703.585418,3995,0,1
4,SendPayment,1764751703.595361,3464,0,1
4,SendPayment,1764751703.605393,4606,0,1
4,SendPayment,1764751703.615392,3332,0,1
2,Balance,1764751703.625367,928,0,1
2,Balance,1764751703.635371,1239,0,1
1,Amalgamate,1764751703.645321,4364,0,1
4,SendPayment,1764751703.655317,4092,0,1
5,TransactSavings,1764751703.665338,4166,0,1
4,SendPayment,1764751703.675300,3239,0,1
3,DepositChecking,1764751703.685297,3177,0,1
2,Balance,1764751703.695335,944,0,1
3,DepositChecking,1764751703.705386,3301,0,1
1,Amalgamate,1764751703.715315,4397,0,1
4,SendPayment,1764751703.725312,3681,0,1
2,Balance,1764751703.735428,1045,0,1
1,Amalgamate,1764751703.745407,3974,0,1
1,Amalgamate,1764751703.755430,4845,0,1
4,SendPayment,1764751703.765372,3951,0,1
3,DepositChecking,1764751703.775371,3219,0,1
5,TransactSavings,1764751703.785306,3821,0,1
3,DepositChecking,1764751703.795390,3607,0,1
2,Balance,1764751703.805326,1432,0,1
2,Balance,1764751703.815302,1044,0,1
3,DepositChecking,1764751703.825412,3554,0,1
5,TransactSavings,1764751703.835296,3751,0,1
4,SendPayment,1764751703.845350,3833,0,1
4,SendPayment,1764751703.855297,4035,0,1
1,Amalgamate,1764751703.865512,3609,0,1
6,WriteCheck,1764751703.875489,3648,0,1
4,SendPayment,1764751703.885416,3916,0,1
3,DepositChecking,1764751703.895278,3190,0,1
4,SendPayment,1764751703.905449,3261,0,1
3,DepositChecking,1764751703.915298,3595,0,1
4,SendPayment,1764751703.925494,4328,0,1
1,Amalgamate,1764751703.935348,3578,0,1
6,WriteCheck,1764751703.945250,3936,0,1
6,WriteCheck,1764751703.955326,3725,0,1
3,DepositChecking,1764751703.965380,3258,0,1
3,DepositChecking,1764751703.975329,3418,0,1
3,DepositChecking,1764751703.985642,3300,0,1
3,DepositChecking,1764751703.995556,3333,0,1
4,SendPayment,1764751704.005319,3819,0,1
1,Amalgamate,1764751704.015344,3869,0,1
5,TransactSavings,1764751704.025268,3523,0,1
4,SendPayment,1764751704.035366,3801,0,1
4,SendPayment,1764751704.045290,3973,0,1
2,Balance,1764751704.055413,1145,0,1
5,TransactSavings,1764751704.065269,3536,0,1
6,WriteCheck,1764751704.075340,4663,0,1
3,DepositChecking,1764751704.085278,3059,0,1
5,TransactSavings,1764751704.095326,3403,0,1
2,Balance,1764751704.105353,919,0,1
2,Balance,1764751704.115396,931,0,1
6,WriteCheck,1764751704.125321,4047,0,1
6,WriteCheck,1764751704.135321,3841,0,1
5,TransactSavings,1764751704.145312,4122,0,1
5,TransactSavings,1764751704.155305,3371,0,1
3,DepositChecking,1764751704.165275,3458,0,1
5,TransactSavings,1764751704.175312,3920,0,1
3,DepositChecking,1764751704.185336,3275,0,1
1,Amalgamate,1764751704.195393,3986,0,1
3,DepositChecking,1764751704.205291,3217,0,1
6,WriteCheck,1764751704.215280,3744,0,1
1,Amalgamate,1764751704.225381,3656,0,1
2,Balance,1764751704.235318,1012,0,1
5,TransactSavings,1764751704.245279,3475,0,1
4,SendPayment,1764751704.255322,3985,0,1
3,DepositChecking,1764751704.265341,4323,0,1
1,Amalgamate,1764751704.275299,3847,0,1
4,SendPayment,1764751704.285278,3662,0,1
4,SendPayment,1764751704.295430,4015,0,1
2,Balance,1764751704.305384,1010,0,1
5,TransactSavings,1764751704.315300,3605,0,1
1,Amalgamate,1764751704.325420,3848,0,1
5,TransactSavings,1764751704.335280,3849,0,1
3,DepositChecking,1764751704.345312,3279,0,1
6,WriteCheck,1764751704.355365,3947,0,1
4,SendPayment,1764751704.365295,5472,0,1
5,TransactSavings,1764751704.375308,4492,0,1
2,Balance,1764751704.385286,1167,0,1
4,SendPayment,1764751704.395349,3716,0,1
2,Balance,1764751704.405350,793,0,1
3,DepositChecking,1764751704.415303,3350,0,1
6,WriteCheck,1764751704.425274,3793,0,1
4,SendPayment,1764751704.435304,3536,0,1
4,SendPayment,1764751704.445293,4035,0,1
1,Amalgamate,1764751704.455324,4195,0,1
1,Amalgamate,1764751704.465316,4160,0,1
6,WriteCheck,1764751704.475303,4223,0,1
4,SendPayment,1764751704.485300,4344,0,1
5,TransactSavings,1764751704.495281,3753,0,1
6,WriteCheck,1764751704.505275,3853,0,1
1,Amalgamate,1764751704.515351,4178,0,1
3,DepositChecking,1764751704.525289,3312,0,1
5,TransactSavings,1764751704.535272,3732,0,1
6,WriteCheck,1764751704.545247,4535,0,1
4,SendPayment,1764751704.555292,3660,0,1
2,Balance,1764751704.565283,870,0,1
1,Amalgamate,1764751704.575355,4058,0,1
3,DepositChecking,1764751704.585344,3823,0,1
1,Amalgamate,1764751704.595296,4091,0,1
2,Balance,1764751704.605305,1033,0,1
1,Amalgamate,1764751704.615412,4065,0,1
